frame,robot_id,sim_x,sim_y,real_x,real_y
0,0,0.0000000,0.0000000,224.3300000,191.3300000
0,2,0.0000000,0.0000000,128.3300000,197.3300000
0,3,0.0000000,0.0000000,340.6700000,218.3300000
0,4,0.0000000,0.0000000,340.3300000,30.3300000
0,5,0.0000000,0.0000000,126.0000000,24.0000000
10000,0,0.0000000,0.0000000,223.4230587,190.9332587
10000,2,0.0000000,0.0000000,129.1979892,196.8540369
10000,3,0.0000000,0.0000000,340.1164618,217.5093042
10000,4,0.0000000,0.0000000,339.5840181,30.9807359
10000,5,0.0000000,0.0000000,126.7398772,24.6576686
2000,0,0.0000000,0.0000000,222.5069775,190.5325192
2000,2,0.0000000,0.0000000,130.0747258,196.3732772
2000,3,0.0000000,0.0000000,339.5573452,216.6803376
2000,4,0.0000000,0.0000000,338.8305184,31.6380296
2000,5,0.0000000,0.0000000,127.4872106,25.3219649
3000,0,0.0000000,0.0000000,221.5908042,190.1317394
3000,2,0.0000000,0.0000000,130.9515505,195.8924691
3000,3,0.0000000,0.0000000,338.9981724,215.8512877
3000,4,0.0000000,0.0000000,338.0769429,32.2953895
3000,5,0.0000000,0.0000000,128.2346191,25.9863281
4000,0,0.0000000,0.0000000,220.6746300,189.7309592
4000,2,0.0000000,0.0000000,131.8283760,195.4116605
4000,3,0.0000000,0.0000000,338.4389991,215.0222370
4000,4,0.0000000,0.0000000,337.3233667,32.9527500
4000,5,0.0000000,0.0000000,128.9820284,26.6506919
5000,0,0.0000000,0.0000000,219.7584558,189.3301790
5000,2,0.0000000,0.0000000,132.7052016,194.9308520
5000,3,0.0000000,0.0000000,337.8798257,214.1931862
5000,4,0.0000000,0.0000000,336.5697905,33.6101106
5000,5,0.0000000,0.0000000,129.7294377,27.3150558
6000,0,0.0000000,0.0000000,218.8422815,188.9293988
6000,2,0.0000000,0.0000000,133.5820272,194.4500434
6000,3,0.0000000,0.0000000,337.3206523,213.3641355
6000,4,0.0000000,0.0000000,335.8162143,34.2674711
6000,5,0.0000000,0.0000000,130.4768471,27.9794196
7000,0,0.0000000,0.0000000,217.9261073,188.5286186
7000,2,0.0000000,0.0000000,134.4588528,193.9692348
7000,3,0.0000000,0.0000000,336.7614790,212.5350847
7000,4,0.0000000,0.0000000,335.0626381,34.9248316
7000,5,0.0000000,0.0000000,131.2242564,28.6437835
8000,0,0.0000000,0.0000000,217.0099331,188.1278384
8000,2,0.0000000,0.0000000,135.3356784,193.4884263
8000,3,0.0000000,0.0000000,336.2023056,211.7060340
8000,4,0.0000000,0.0000000,334.3090618,35.5821922
8000,5,0.0000000,0.0000000,131.9716657,29.3081473
9000,0,0.0000000,0.0000000,216.0937588,187.7270582
9000,2,0.0000000,0.0000000,136.2125040,193.0076177
9000,3,0.0000000,0.0000000,335.6431322,210.8769832
9000,4,0.0000000,0.0000000,333.5554856,36.2395527
9000,5,0.0000000,0.0000000,132.7190750,29.9725111
10000,0,0.0000000,0.0000000,215.1775846,187.3262780
10000,2,0.0000000,0.0000000,137.0893296,192.5268092
10000,3,0.0000000,0.0000000,335.0839589,210.0479325
10000,4,0.0000000,0.0000000,332.8019094,36.8969132
10000,5,0.0000000,0.0000000,133.4664843,30.6368750
11000,0,0.0000000,0.0000000,214.2614104,186.9254978
11000,2,0.0000000,0.0000000,137.9661552,192.0460006
11000,3,0.0000000,0.0000000,334.5247855,209.2188817
11000,4,0.0000000,0.0000000,332.0483332,37.5542738
11000,5,0.0000000,0.0000000,134.2138937,31.3012388
12000,0,0.0000000,0.0000000,213.3452361,186.5247175
12000,2,0.0000000,0.0000000,138.8429808,191.5651920
12000,3,0.0000000,0.0000000,333.9656121,208.3898310
12000,4,0.0000000,0.0000000,331.2947569,38.2116343
12000,5,0.0000000,0.0000000,134.9613030,31.9656026
13000,0,0.0000000,0.0000000,212.4290619,186.1239373
13000,2,0.0000000,0.0000000,139.7198064,191.0843835
13000,3,0.0000000,0.0000000,333.4064387,207.5607802
13000,4,0.0000000,0.0000000,330.5411807,38.8689949
13000,5,0.0000000,0.0000000,135.7087123,32.6299665
14000,0,0.0000000,0.0000000,211.5128877,185.7231571
14000,2,0.0000000,0.0000000,140.5966320,190.6035749
14000,3,0.0000000,0.0000000,332.8472654,206.7317295
14000,4,0.0000000,0.0000000,329.7876045,39.5263554
14000,5,0.0000000,0.0000000,136.4561216,33.2943303
1500,0,0.0000000,0.0000000,210.5967134,185.3223769
1500,2,0.0000000,0.0000000,141.4734576,190.1227663
1500,3,0.0000000,0.0000000,332.2880920,205.9026788
1500,4,0.0000000,0.0000000,329.0340283,40.1837159
1500,5,0.0000000,0.0000000,137.2035309,33.9586942
1600,0,0.0000000,0.0000000,209.6805392,184.9215967
1600,2,0.0000000,0.0000000,142.3502832,189.6419578
1600,3,0.0000000,0.0000000,331.7289186,205.0736280
1600,4,0.0000000,0.0000000,328.2804520,40.8410765
1600,5,0.0000000,0.0000000,137.9509403,34.6230580
1700,0,0.0000000,0.0000000,208.7643650,184.5208165
1700,2,0.0000000,0.0000000,143.2271088,189.1611492
1700,3,0.0000000,0.0000000,331.1697453,204.2445773
1700,4,0.0000000,0.0000000,327.5268758,41.4984370
1700,5,0.0000000,0.0000000,138.6983496,35.2874218
1800,0,0.0000000,0.0000000,207.8481907,184.1200363
1800,2,0.0000000,0.0000000,144.1039344,188.6803407
1800,3,0.0000000,0.0000000,330.6105719,203.4155265
1800,4,0.0000000,0.0000000,326.7732996,42.1557975
1800,5,0.0000000,0.0000000,139.4457589,35.9517857
1900,0,0.0000000,0.0000000,206.9320165,183.7192561
1900,2,0.0000000,0.0000000,144.9807600,188.1995321
1900,3,0.0000000,0.0000000,330.0513985,202.5864758
1900,4,0.0000000,0.0000000,326.0197234,42.8131581
1900,5,0.0000000,0.0000000,140.1931682,36.6161495
2000,0,0.0000000,0.0000000,206.0158423,183.3184759
2000,2,0.0000000,0.0000000,145.8575856,187.7187235
2000,3,0.0000000,0.0000000,329.4922252,201.7574250
2000,4,0.0000000,0.0000000,325.2661471,43.4705186
2000,5,0.0000000,0.0000000,140.9405775,37.2805134
2100,0,0.0000000,0.0000000,205.0996680,182.9176957
2100,2,0.0000000,0.0000000,146.7344112,187.2379150
2100,3,0.0000000,0.0000000,328.9330518,200.9283743
2100,4,0.0000000,0.0000000,324.5125709,44.1278791
2100,5,0.0000000,0.0000000,141.6879868,37.9448772
2200,0,0.0000000,0.0000000,204.1834938,182.5169155
2200,2,0.0000000,0.0000000,147.6112368,186.7571064
2200,3,0.0000000,0.0000000,328.3738784,200.0993235
2200,4,0.0000000,0.0000000,323.7589947,44.7852397
2200,5,0.0000000,0.0000000,142.4353962,38.6092410
2300,0,0.0000000,0.0000000,203.2673196,182.1161352
2300,2,0.0000000,0.0000000,148.4880624,186.2762979
2300,3,0.0000000,0.0000000,327.8147051,199.2702728
2300,4,0.0000000,0.0000000,323.0054185,45.4426002
2300,5,0.0000000,0.0000000,143.1828055,39.2736049
2400,0,0.0000000,0.0000000,202.3511453,181.7153550
2400,2,0.0000000,0.0000000,149.3648880,185.7954893
2400,3,0.0000000,0.0000000,327.2555317,198.4412220
2400,4,0.0000000,0.0000000,322.2518423,46.0999608
2400,5,0.0000000,0.0000000,143.9302148,39.9379687
2500,0,0.0000000,0.0000000,201.4349711,181.3145748
